Top 1,000 Computer Languages
============================

Rankings explained · Explore all 5,155
 https://pldb.io/explorer.html Explore all 5,155
 https://pldb.io/../pages/the-rankings-algorithm.html Rankings explained

name,rank,appeared,tags,creators,foundationScore,inboundLinksCount,measurements,nameLink
Sass,141,2006,stylesheetLanguage,Hampton Lintorn-Catlin,2,2,30,../concepts/sass.html
EJS,142,2010,template,Tj Holowaychuk,11,11,19,../concepts/ejs.html
ActionScript,143,1998,pl,Gary Grossman,6,6,34,../concepts/actionscript.html
PostCSS,144,2013,textMarkup,Andrey Sitnik,0,0,27,../concepts/postcss.html
Pandas,145,2008,library,Wes McKinney,0,0,23,../concepts/pandas.html
Pony,146,2012,pl,Sylvan Clebsch,0,0,38,../concepts/pony.html
Verilog,147,1984,hardwareDescriptionLanguage,Phil Moorby and Prabhu Goel,0,0,49,../concepts/verilog.html
Ballerina,148,2015,pl,Sanjiva Weerawarana and James Clark and Sameera Jayasoma and Hasitha Aravinda and Srinath Perera and Frank Leymann,0,0,37,../concepts/ballerina.html
Squirrel,149,2003,pl,Alberto Demichelis,2,2,40,../concepts/squirrel.html
PRQL,150,2022,queryLanguage,Maximilian Roos,0,0,33,../concepts/prql.html
Hy,151,2013,pl lisp,Paul Tagliamonte,0,0,43,../concepts/hy.html
Factor,152,2003,pl,Slava Pestov,0,1,38,../concepts/factor.html
FLUX,153,2014,pl,Paul O’Shannessy,0,0,26,../concepts/flux.html
Puppet,154,2005,pl,,9,9,22,../concepts/puppet.html
Manim,155,2015,framework,Grant Sanderson,0,0,25,../concepts/manim.html
BASIC,156,1964,pl,John G. Kemeny and Thomas E. Kurtz,0,0,37,../concepts/basic.html
AutoHotkey,157,2003,pl,,4,4,33,../concepts/autohotkey.html
RAML,158,2013,yamlFormat,,2,2,21,../concepts/raml.html
PostScript,159,1982,textMarkup,John Warnock and Chuck Geschke and Doug Brotz and Ed Taft and Bill Paxton,0,1,38,../concepts/postscript.html
Vue,160,2014,framework,Evan You,0,0,22,../concepts/vuejs.html
Wren,161,2013,pl,Bob Nystrom,0,0,32,../concepts/wren.html
Less,162,2009,stylesheetLanguage,Alexis Sellier,16,16,32,../concepts/less.html
Drupal,163,2000,application,Dries Buytaert,0,0,20,../concepts/drupal.html
Cython,164,2007,pl,,15,15,25,../concepts/cython.html
LabVIEW G,165,1986,pl,,0,0,27,../concepts/labview.html
Android,166,2008,os,Andy Rubin and Rich Miner and Nick Sears and Chris White,0,0,19,../concepts/android.html
MUMPS,167,1966,pl,Neil Pappalardo,4,6,35,../concepts/mumps.html
ColdFusion,168,1995,pl,Joseph J. Allaire,3,4,32,../concepts/coldfusion.html
XQuery,169,2007,pl,,4,4,33,../concepts/xquery.html
Common Lisp,170,1984,pl lisp,Scott Fahlman and Richard P. Gabriel and David A. Moon and Kent Pitman and Guy Steele and Dan Weinreb,0,1,44,../concepts/common-lisp.html
IPFS,171,2015,protocol cryptoProtocol,Juan Benet,0,1,18,../concepts/ipfs.html
mustache,172,2009,template,Chris Wanstrath,9,9,19,../concepts/mustache.html
Ruby on Rails,173,2005,framework,David Heinemeier Hansson,0,0,19,../concepts/rails.html
MDX,174,2017,textMarkup,John Otander,0,1,19,../concepts/mdx.html
Eiffel,175,1986,pl,Bertrand Meyer,0,1,51,../concepts/eiffel.html
Wa-lang,176,2022,pl,Shushan Chai and Ernan Ding,1,1,54,../concepts/wa.html
ML,177,1973,pl,Robin Milner,0,3,25,../concepts/ml.html
Monaco Editor,178,2016,editor,,0,5,16,../concepts/monaco.html
htmx,179,2020,template,Carson Gross,0,0,21,../concepts/htmx.html
Jekyll,180,2008,staticSiteGenerator,Tom Preston-Werner,0,1,17,../concepts/jekyll.html
Smali,181,2010,assembly,,0,0,26,../concepts/smali.html
JSON-LD,182,2010,dataValidationLanguage,Dave Longley,0,5,21,../concepts/json-ld.html
EDN,183,2012,dataNotation,,0,1,27,../concepts/edn.html
Luna,184,2015,pl,Wojciech Danilo,0,1,20,../concepts/luna.html
Bun,185,2021,vm,Jarred Sumner,0,0,20,../concepts/bun.html
Cap'n Proto,186,2013,idl,Kenton Varda,0,0,24,../concepts/capn-proto.html
MicroPython,187,2014,pl,Damien P. George,0,0,21,../concepts/micropython.html
PEG.js,188,2010,grammarLanguage,David Majda,0,0,30,../concepts/pegjs.html
Korn shell,189,1983,pl,,5,5,23,../concepts/korn-shell.html
hurl,190,2020,application,Orange S.A,0,0,24,../concepts/hurl.html
NetLogo,191,1999,pl simulation,Uri Wilensky,0,1,30,../concepts/netlogo.html
MoonScript,192,2011,pl,,0,0,36,../concepts/moonscript.html
DOT,193,2007,diagramLang,Emden R. Gansner and Eleftherios Koutsofios and Stephen North,0,7,27,../concepts/dot.html
TensorFlow,194,2015,library,Manjunath Kudlur,0,0,18,../concepts/tensorflow.html
Flutter,195,2017,framework,Eric Seidel,0,0,19,../concepts/flutter.html
API Blueprint,196,2013,pl,,0,0,23,../concepts/api-blueprint.html
ASP,197,1996,template,,0,1,28,../concepts/asp.html
V8,198,2008,vm,Lars Bak,0,1,17,../concepts/v8.html
Vala,199,2006,pl,,4,4,33,../concepts/vala.html
Coconut,200,2014,pl,,0,0,32,../concepts/coconut.html
Koka,201,2012,pl,Daan Leijen,0,0,35,../concepts/koka.html
Lex,202,1975,grammarLanguage,Mike Lesk and Eric Schmidt,64,64,23,../concepts/lex.html
CodeMirror,203,2007,editor,Marijn Haverbeke,0,5,18,../concepts/codemirror.html
highlight.js,204,2006,library,Alexandre Go,0,3,16,../concepts/highlightjs.html
Zephir,205,2013,pl,Andres Gutierrez,0,0,29,../concepts/zephir.html
M4,206,1977,pl,Brian Kernighan and Dennis Ritchie,76,76,28,../concepts/m4.html
Logo,207,1967,pl simulation,,0,1,25,../concepts/logo.html
Pig Latin,208,2008,queryLanguage,,3,3,30,../concepts/pig.html
Jinja,209,2006,template,Armin Ronacher,0,0,22,../concepts/jinja.html
Enso,210,2015,pl,Wojciech Danilo,0,2,18,../concepts/enso.html
npm,211,2010,packageManager,Isaac Z. Schlueter,0,0,20,../concepts/npm-pm.html
