Top 1,000 Computer Languages
============================

Rankings explained · Explore all 5,155
 https://pldb.io/explorer.html Explore all 5,155
 https://pldb.io/../pages/the-rankings-algorithm.html Rankings explained

name,rank,appeared,tags,creators,foundationScore,inboundLinksCount,measurements,nameLink
ALGOL 60,324,1960,pl,John Backus and Friedrich L. Bauer and Julien Green and Charles Katz and John McCarthy and Peter Naur and Alan Perlis and Heinz Rutishauser and Klaus Samelson and Adriaan van Wijngaarden and Bernard Vauquois and Joseph Henry Wegstein and Michael Woodger,0,6,20,../concepts/algol-60.html
onnx,325,2017,binaryDataFormat,Junjie Bai,0,0,16,../concepts/onnx.html
chatterbot,326,2014,library,Gunther Cox,0,0,16,../concepts/chatterbot.html
PowerBuilder,327,2010,pl,,2,2,24,../concepts/powerbuilder.html
progsbase,328,2018,pl,Martin F. Johansen,0,0,69,../concepts/progsbase.html
JSP,329,1999,template,,9,9,15,../concepts/java-server-pages.html
Cue,330,2018,dataNotation,Marcel van Lohuizen,0,0,20,../concepts/cuelang.html
Cryptol,331,2014,pl,Adam C. Foltzer,0,0,28,../concepts/cryptol.html
Toit,332,2021,pl,Florian Loitsch and Kasper Lund,0,0,29,../concepts/toit.html
Natural Language Toolkit,333,2001,library,,0,0,16,../concepts/nltk.html
Elvish,334,2013,pl,Qi Xiao,0,0,18,../concepts/elvish.html
GLSL,335,1992,shadingLanguage 3d,,34,34,24,../concepts/glsl.html
Scikit-learn,336,2007,library,David Cournapeau,0,0,15,../concepts/scikit-learn.html
11ty,337,2017,staticSiteGenerator,Zach Leatherman,0,0,16,../concepts/11ty.html
K,338,1993,pl arrayLang,Arthur Whitney,0,11,27,../concepts/k.html
Scilab,339,1990,pl,,0,0,32,../concepts/scilab.html
Keras,340,2015,library,François Chollet,0,0,15,../concepts/keras.html
Click,341,1999,pl,,0,0,24,../concepts/click.html
TLA+,342,1999,pl,Leslie Lamport,0,1,25,../concepts/tla.html
Obsidian,343,2020,editor,Shida Li and Erica Xu,0,0,16,../concepts/obsidian.html
Dogescript,344,2013,pl,Zach Bruggeman,0,0,26,../concepts/dogescript.html
Triton,345,2021,pl,Philippe Tillet,0,0,16,../concepts/triton.html
idyll,346,2017,pl,,0,0,23,../concepts/idyll.html
PROMETHEUS,347,2012,pl,Matt T. Proud,0,0,15,../concepts/prometheus.html
WDL,348,2012,pl,,0,0,24,../concepts/wdl.html
Turtle,349,2011,dataNotation,,0,4,16,../concepts/turtle.html
Clean,350,1987,pl,,2,2,37,../concepts/clean.html
Observable,351,2017,pl,Mike Bostock,0,1,23,../concepts/observable-lang.html
MPS,352,2010,grammarLanguage,,1,1,17,../concepts/mps.html
Slope,353,2021,pl lisp,Sloum,0,0,42,../concepts/slope.html
YANG,354,2014,application,Tom Nadeau,0,0,18,../concepts/yang.html
AutoIt,355,1999,pl,Jonathan Bennett,0,0,39,../concepts/autoit.html
iOS,356,2007,os,,0,0,14,../concepts/ios.html
Sqlalchemy,357,2006,queryLanguage,Michael Bayer,0,0,16,../concepts/sqlalchemy.html
JAI,358,2014,pl,Jonathan Blow,0,0,26,../concepts/jai.html
mdl,359,2019,isa,Reid Tatge,0,0,17,../concepts/microarchitecture-description-language.html
Nemerle,360,2003,pl,Krzysztof Czarnecki,4,4,36,../concepts/nemerle.html
Djot,361,2022,textMarkup,John MacFarlane,0,0,24,../concepts/djot.html
eC,362,2004,pl,Jérôme Jacovella-St-Louis,0,0,39,../concepts/ec.html
Simula,363,1965,pl,Ole-Johan Dahl and Kristen Nygaard,0,0,34,../concepts/simula.html
Jakt,364,2022,pl,Andreas Kling,0,0,19,../concepts/jakt.html
CodeQL,365,2018,queryLanguage,Pavel Avgustinov,0,0,16,../concepts/codeql.html
wisp,366,2012,pl lisp,Santosh Rajan and Irakli Gozalishvili and LeXofLeviafan and Chris McCormick,0,0,27,../concepts/wisp.html
Ring,367,2016,pl,Mahmoud Fayed,7,7,29,../concepts/ring.html
Golo,368,2012,pl,Webmaster,0,0,35,../concepts/golo.html
mathics,369,2012,pl,,0,0,20,../concepts/mathics.html
Scroll,370,2019,textMarkup staticSiteGenerator commandLineApp dataNotation dataValidationLanguage wikiMarkup,Breck Yunits,0,3,37,../concepts/scroll.html
AviSynth,371,2000,editor,Ben Rudiak-Gould and Edwin van Eggelen and Klaus Post and Richard Berg and Ian Brabham,0,0,22,../concepts/avi-synth.html
emberjs-framework,372,2011,framework,Yehuda Katz,0,0,15,../concepts/emberjs-framework.html
Particles,373,2017,dataNotation,Breck Yunits,2,8,31,../concepts/particles.html
datascript,374,2014,queryLanguage,,0,1,15,../concepts/datascript.html
Q,375,2003,pl arrayLang,Arthur Whitney,0,2,25,../concepts/q.html
Bison,376,1985,grammarLanguage,Robert Corbett,0,1,26,../concepts/bison.html
Felix,377,2001,pl,John Skaller,0,0,36,../concepts/felix.html
mochajs,378,2011,library,TJ Holowaychuk and Guillermo Rauch,0,0,15,../concepts/mochajs.html
Transact-SQL,379,1984,queryLanguage,,0,0,25,../concepts/transact-sql.html
JSFuck,380,2012,esolang,Martin Kleppe,0,0,16,../concepts/jsf.html
CWL,381,2014,pl,Luka Stojanovic,0,0,26,../concepts/common-workflow-language.html
HHVM,382,2011,vm,,0,0,15,../concepts/hhvm.html
pest,383,2018,grammarLanguage,Dragoș Tiselice,0,0,17,../concepts/pest.html
LOLCODE,384,2007,esolang,Adam Lindsay,0,0,25,../concepts/lolcode.html
sizzle,385,2008,queryLanguage,,0,0,16,../concepts/sizzle.html
AGC,386,1966,assembly,,0,0,19,../concepts/apollo-guidance-computer.html
SOAP,387,1998,xmlFormat,Dave Winer and Don Box and Bob Atkinson and Mohsen Al-Ghosein,0,0,15,../concepts/soap.html
Numba,388,2012,compiler,Travis E. Oliphant,0,1,14,../concepts/numba.html
Parsers,389,2017,grammarLanguage compiler,Breck Yunits,2,5,29,../concepts/parsers.html
Boo,390,2003,pl,Rodrigo B. De Oliveira,0,0,38,../concepts/boo.html
DOI,391,2000,schema,,0,0,15,../concepts/doi.html
Simple Binary Encoding,392,2013,pl,Scott Logic,0,0,17,../concepts/simple-binary-encoding.html
AssemblyScript,393,2017,pl,,0,0,15,../concepts/assemblyscript.html
Xarray,394,2013,library dataVis,Maximilian Roos,0,0,16,../concepts/xarray.html
Datalog,395,1977,pl,,0,3,22,../concepts/datalog.html
Ante,396,2015,pl,Jake Fecher,0,0,20,../concepts/ante.html
MIME,397,1991,textDataFormat,Nathaniel Borenstein and Ned Freed,0,0,17,../concepts/mime.html
nomnoml,398,2014,diagramLang,Daniel Kallin,0,0,18,../concepts/nomnoml.html
Mirah,399,2009,pl,Charles Oliver Nutter,0,0,24,../concepts/mirah.html
Prism,400,2012,library,Lea Verou,0,0,15,../concepts/prismjs.html
PgBouncer,401,2007,application,Frank McGeough,0,0,17,../concepts/pgbouncer.html
Isabelle,402,1986,pl,,0,1,29,../concepts/isabelle.html
Logica,403,2020,queryLanguage,Evgeny Skvortsov,0,0,20,../concepts/logica.html
REST,404,1996,protocol,Roy Fielding,0,0,14,../concepts/rest.html
Smarty,405,2006,template,Monte Ohrt and Messju Mohr and Uwe Tews,5,5,21,../concepts/smarty.html
Vim,406,1991,editor,Bram Moolenaar,0,0,14,../concepts/vim.html
YoptaScript,407,2016,pl,Sam Gozman,0,0,19,../concepts/yoptascript.html
chaiscript,408,2009,pl,,0,0,17,../concepts/chaiscript.html
mermaid,409,2014,diagramLang,Knut Sveidqvist,0,0,14,../concepts/mermaid.html
ISBN,410,1970,schema,,0,0,14,../concepts/isbn.html
BCPL,411,1966,pl,Martin Richards,0,0,27,../concepts/bcpl.html
oil,412,2016,pl,,0,0,17,../concepts/oil.html
Emacs,413,1976,editor,Guy Steele and Dave Moon,0,1,13,../concepts/emacs-editor.html
commonmark,414,2014,textMarkup,John MacFarlane,0,2,14,../concepts/commonmark.html
SCSS,415,2006,stylesheetLanguage,Hampton Lintorn-Catlin,41,41,33,../concepts/scss.html
SuperCollider,416,1996,pl,,0,0,33,../concepts/supercollider.html
CIL,417,2000,pl,,0,0,26,../concepts/cil.html
Impala,418,2012,queryLanguage,,0,0,17,../concepts/impala.html
Mu,419,2014,pl,Kartik K. Agaram,0,0,22,../concepts/mu.html
Xojo,420,1996,pl,,0,1,26,../concepts/xojo.html
skip,421,2018,pl,,0,0,19,../concepts/skip.html
Dylan,422,1992,pl,,0,0,41,../concepts/dylan.html
REBOL,423,1997,pl,Carl Sassenrath,0,3,45,../concepts/rebol.html
Rholang,424,2016,contractLanguage,,0,0,18,../concepts/rholang.html
SugarSS,425,2016,textMarkup,Andrey Sitnik,2,2,18,../concepts/sugarss.html
Mindsdb,426,2018,application,,0,0,14,../concepts/minidsdb.html
walt,427,2017,pl,,0,0,16,../concepts/walt.html
docopt,428,2012,pl,Vladimir Keleshev,0,0,15,../concepts/docopt.html
BQN,429,2020,pl arrayLang,Marshall Lochbaum,1,1,19,../concepts/bqn.html
Dynamo,430,2011,visual,Ian Keough,0,0,16,../concepts/dynamo-visual-language.html
Raku,431,2015,pl,Larry Wall,8,9,41,../concepts/raku.html
X10,432,2004,pl,Kemal Ebcioğlu and Saravanan Arumugam and Vijay Saraswat and Vivek Sarkar,0,1,44,../concepts/x10.html
Flow9,433,2010,pl,Dmitry Solomennikov,0,0,28,../concepts/flow9.html
ooc,434,2009,pl,Amos Wenger,0,0,31,../concepts/ooc.html
AsciiDots,435,2017,esolang,Aaron Janse,0,0,23,../concepts/asciidots.html
Stencil,436,2018,template,Kyle Fuller,0,0,17,../concepts/stencil.html
Meson,437,2013,pl,,18,18,18,../concepts/meson.html
Modula-3,438,1986,pl,Luca Cardelli and James Donahue and Lucille Glassman and Mick Jordan and Bill Kalsow and Greg Nelson,0,0,36,../concepts/modula-3.html
Vim script,439,1991,pl,,112,112,24,../concepts/vim-script.html
JSON Schema,440,2010,dataValidationLanguage,Kris Zyp,0,0,16,../concepts/json-schema.html
roy,441,2011,pl,Brian McKenna,0,0,24,../concepts/roy.html
ArkScript,442,2019,pl,Alexandre Plateau and Pierre Pharel and Natendrtfm,0,0,31,../concepts/arkscript.html
EBNF,443,1977,grammarLanguage,Niklaus Wirth,0,1,17,../concepts/ebnf.html
JCL,444,1964,pl,,2,2,19,../concepts/jcl.html
xBase,445,1986,pl,,2,2,26,../concepts/xbase.html
Scoop,446,2013,packageManager,Luke Sampson,0,0,14,../concepts/scoop-pm.html
Closure Templates,447,2009,template,,0,0,20,../concepts/closure-templates.html
dgraph,448,2015,application,,0,0,14,../concepts/dgraph.html
Oz,449,1991,pl,Gert Smolka,0,0,33,../concepts/oz.html
Wax,450,2020,pl,Lingdong Huang,0,0,26,../concepts/wax.html
Self,451,1987,pl,David Ungar,0,1,29,../concepts/self.html
pyret,452,2011,pl,Joe Gibbs Politz,0,0,20,../concepts/pyret.html
Nit,453,2008,pl,Jean Privat,0,0,32,../concepts/nit.html
Apache Hbase,454,2008,application,,0,0,14,../concepts/apache-hbase.html
jasmine,455,2008,library,,0,0,14,../concepts/jasmine.html
codecept,456,2015,library,,0,0,15,../concepts/codecept.html
Lily,457,2011,pl,,0,0,22,../concepts/lily.html
Gosu,458,2002,pl,,0,0,30,../concepts/gosu.html
ActivityPub,459,2018,protocol,Christine Lemmer-Webber and Jessica Tallon and Erin Shepherd and Amy Guy and Evan Prodromou,0,1,17,../concepts/activity-pub.html
Ioke,460,2008,pl,Ola Bini,0,0,36,../concepts/ioke.html
kitten,461,2012,pl,Jon Purdy,0,0,22,../concepts/kitten.html
Maxima,462,1982,pl,,0,0,31,../concepts/maxima.html
Modelica,463,1997,pl,,0,0,29,../concepts/modelica.html
mun-lang,464,2019,pl,,0,0,18,../concepts/mun-lang.html
dplyr,465,2012,dataFlow library,Hadley Wickham,0,2,13,../concepts/dplyr.html
OpenRC runscript,466,2007,application,Roy Marples,0,0,17,../concepts/openrc-runscript.html
Iterm2,467,1996,application,,0,0,14,../concepts/iterm2.html
Latte,468,2008,template,David Grudl,0,0,19,../concepts/latte.html
B,469,1969,pl,Ken Thompson and Dennis Ritchie,0,0,20,../concepts/b.html
Neko,470,2005,pl,Nicolas Cannasse,0,0,23,../concepts/neko.html
Binary notation,471,1689,notation,Gottfried Leibniz,0,1,14,../concepts/binary-notation.html
tidyverse,472,2016,dataFlow library,Hadley Wickham,0,1,15,../concepts/tidyverse.html
Gnuplot,473,1986,pl,,0,0,25,../concepts/gnuplot.html
skulpt,474,2009,pl,Scott Graham,0,0,15,../concepts/skulpt.html
RPG,475,1959,pl,,0,2,17,../concepts/ibm-rpg.html
TCP,476,1974,protocol,Vint Cerf and Bob Kahn,0,1,13,../concepts/tcp.html
Shen,477,2011,pl,Mark Tarver,0,0,30,../concepts/shen.html
Veryl,478,2022,pl,Naoya Hatta,0,0,38,../concepts/veryl.html
Hyperscript,479,2020,pl,,0,0,16,../concepts/hyperscript-lang.html
JFlex,480,2003,grammarLanguage,,0,0,22,../concepts/jflex.html
packagist-pm,481,2011,packageManager,Jordi Boggiano,0,0,16,../concepts/packagist-pm.html
NewLisp,482,1991,pl lisp,Lutz Mueller,0,0,32,../concepts/newlisp.html
ATS,483,2013,pl,Hongwei Xi,0,0,33,../concepts/ats.html
Xtend,484,2011,pl,Sven Efftinge and Sebastian Zarnekow,3,3,28,../concepts/xtend.html
capybara,485,2009,library,Jonas Nicklas and Kevin Fitzpatrick,0,0,14,../concepts/capybara.html
Cyber,486,2022,pl,,0,0,20,../concepts/cyber.html
Dale,487,2013,pl lisp,tomhrr,0,0,21,../concepts/dale.html
LiveScript,488,2011,pl,Jeremy Ashkenas and Satoshi Murakami and George Zahariev,0,1,31,../concepts/livescript.html
Alpaca,489,2016,pl,Jeremy Pierre,0,1,16,../concepts/alpaca.html
Java Properties,490,1995,dataNotation,,0,1,17,../concepts/java-properties.html
XL,491,2000,pl,Christophe de Dinechin,0,1,25,../concepts/xl-lang.html
Wing,492,2022,pl,Elad Ben-Israel,0,0,15,../concepts/wing.html
Please Build,493,2016,pl,,0,0,16,../concepts/please-build.html
FTP,494,1971,protocol,,0,1,13,../concepts/ftp.html
F Prime,495,2017,library,Timothy Canham,0,0,14,../concepts/f-prime.html
Curl,496,1998,pl,Steve Ward,0,3,20,../concepts/curl.html
LFortran,497,2018,pl compiler,Ondrej Certik,0,0,18,../concepts/lfortran.html
Fancy,498,2010,pl,,0,0,32,../concepts/fancy.html
LFE,499,2008,pl lisp,Robert Virding,1,1,27,../concepts/lfe.html
Xtext,500,2006,grammarLanguage,,0,0,17,../concepts/xtext.html
Conan,501,2015,packageManager,,0,0,14,../concepts/conan-pm.html
Pkl,502,2024,pl,,0,0,14,../concepts/pkl.html
CLIPS,503,1985,pl,,0,0,28,../concepts/clips.html
QuickJS,504,2019,vm,Fabrice Bellard,0,0,14,../concepts/quickjs.html
Io,505,2002,pl,Steve Dekorte,0,0,39,../concepts/io.html
dat-protocol,506,2013,protocol,Max Ogden,0,0,14,../concepts/dat-protocol.html
SourcePawn,507,2014,pl,,0,0,24,../concepts/sourcepawn.html
MariaDB,508,2009,queryLanguage,,0,0,16,../concepts/mariadb.html
Qalb,509,2012,pl,Ramsey Nasser,0,0,20,../concepts/qalb.html
groff,510,1990,textMarkup,,0,2,23,../concepts/groff.html
Stylus,511,2010,stylesheetLanguage,TJ Holowaychuk,6,6,20,../concepts/stylus.html
Fantom,512,2005,pl,,0,0,32,../concepts/fantom.html
NGS,513,2013,pl,Ilya Sher,0,0,18,../concepts/ngs.html
vdscript,514,2000,pl,Avery Lee,0,0,21,../concepts/vdscript.html
NCAR Command Language,515,1994,pl weather,,0,0,25,../concepts/ncl.html
buzz,516,2021,pl,Benoit Giannangeli,0,0,19,../concepts/buzz.html
Pike,517,1994,pl,Fredrik Hübinette,0,0,38,../concepts/pike.html
opam-pm,518,2012,packageManager,Fabrice Le Fessant,0,0,16,../concepts/opam-pm.html
jsil-compiler,519,2010,compiler,Kevin Gadd,0,0,16,../concepts/jsil-compiler.html
Arc,520,2001,pl lisp,Paul Graham and Robert Morris,0,1,25,../concepts/arc.html
Amber,521,2022,pl,PhoenixHimself,0,0,15,../concepts/amber.html
Markwhen,522,2022,textMarkup,Rob Koch,0,0,15,../concepts/markwhen.html
NSIS,523,2001,pl,,0,0,24,../concepts/nsis.html
SandDance,524,2018,visual dataVis,Steven M. Drucker,0,0,14,../concepts/sanddance.html
PAWN,525,2006,pl,,0,0,22,../concepts/pawn.html
Differential Datalog,526,2018,pl,Leonid Ryzhyk,0,0,17,../concepts/differential-datalog.html
Civet,527,2022,pl,Daniel X Moore,0,0,18,../concepts/civet.html
Metal,528,2014,library,,7,7,13,../concepts/metal.html
invokator,529,2004,pl,Yann Orlarey,0,0,15,../concepts/invokator.html
CSP,530,1978,pl,,0,0,18,../concepts/csp.html
FlatBuffers,531,2014,idl,,0,2,12,../concepts/flatbuffers.html
Logtalk,532,1998,pl,Paulo Moura,3,3,31,../concepts/logtalk.html
PL/pgSQL,533,1998,pl,Jan Wieck,0,2,20,../concepts/plpgsql.html
G-code,534,1950,pl,,0,0,14,../concepts/g-code.html
mavo,535,2015,template,Lea Verou,0,0,15,../concepts/mavo.html
Befunge,536,1993,esolang,Chris Pressey,0,0,25,../concepts/befunge.html
Algol,537,1958,pl,,0,0,17,../concepts/algol.html
Object Pascal,538,1986,pl,,0,0,23,../concepts/object-pascal.html
Dockerfile,539,2013,pl,,227,228,20,../concepts/dockerfile.html
Hazel,540,2016,pl visual,Cyrus Omar,0,0,20,../concepts/hazel.html
Emscripten,541,2010,compiler,Alon Zakai,0,0,13,../concepts/emscripten.html
Praat Script,542,1997,pl,,0,0,16,../concepts/praat-script.html
fay,543,2012,pl,Chris Done,0,0,17,../concepts/fay.html
SRL,544,2016,queryLanguage,Karim Geiger,0,0,16,../concepts/srl.html
Icon,545,1977,pl,Ralph Griswold,0,1,35,../concepts/icon.html
m3db,546,2016,database,Xi Chen,0,0,14,../concepts/m3db.html
Inform,547,1993,pl,Graham Nelson,0,0,25,../concepts/inform.html
Filebench WML,548,2011,pl,Vasily Tarasov,0,0,23,../concepts/filebench-wml.html
Argdown,549,2014,textMarkup,,0,0,20,../concepts/argdown.html
sile,550,2012,textMarkup,,0,0,16,../concepts/sile.html
chisel,551,2015,hardwareDescriptionLanguage,,0,0,14,../concepts/chisel.html
Nix,552,2003,packageManager,,84,84,21,../concepts/nix.html
Reia,553,2008,pl,,0,0,20,../concepts/reia.html
SymPy,554,2007,library mathematics,Ondrej Certik,0,0,13,../concepts/sympy.html
BlitzMax,555,2014,pl,,0,0,26,../concepts/blitzmax.html
Turing,556,1982,pl,Ric Holt,0,0,26,../concepts/turing.html
Whiley,557,2009,pl,David J. Pearce,0,0,33,../concepts/whiley.html
Lasso,558,1995,pl,Kyle Jessup,0,0,32,../concepts/lasso.html
Uiua,559,2023,pl,Kai Schmidt,0,0,16,../concepts/uiua.html
Objective C++,560,1993,pl,,37,38,22,../concepts/objective-cpp.html
Streem,561,2014,pl,Yukihiro Matsumoto,0,0,14,../concepts/streem.html
LilyPond,562,1996,pl,,0,0,22,../concepts/lilypond.html
cloc,563,2006,commandLineApp,Al Danial,0,0,13,../concepts/cloc.html
Roc,564,2020,pl,Richard Feldman,0,1,13,../concepts/roc.html
Rhai,565,2016,pl,Sophia J. Turner,0,0,14,../concepts/rhai.html
Rascal,566,2013,grammarLanguage,,0,0,19,../concepts/rascal.html
Csound,567,1985,pl,,0,0,25,../concepts/csound.html
Melody,568,2022,pl,Yoav Lavi,0,0,14,../concepts/melody.html
Slim Framework,569,2013,framework,,0,0,13,../concepts/slim-framework.html
Textile,570,2002,textMarkup,netcarver,0,0,18,../concepts/textile.html
comby,571,2019,grammarLanguage,Rijnard van Tonder,0,0,15,../concepts/comby.html
Papyrus,572,2015,pl,,0,0,14,../concepts/papyrus.html
MiniZinc,573,2012,pl,,0,0,20,../concepts/minizinc.html
Wasp,574,2019,pl,Martin Šošić,0,0,13,../concepts/wasp-lang.html
GHC,575,1992,compiler,Kevin Hammond,0,0,18,../concepts/ghc.html
clay,576,2010,pl,KS Sreeram and Joe Groff,0,0,24,../concepts/clay.html
P4,577,2014,pl,,0,0,22,../concepts/p4.html
E,578,1997,pl,Mark S. Miller,0,0,31,../concepts/e.html
PureBasic,579,1998,pl,,0,0,29,../concepts/purebasic.html
dlvm,580,2017,ir,Chris Lattner,0,0,20,../concepts/dlvm.html
UrWeb,581,2008,pl,,0,0,17,../concepts/urweb.html
lmdb,582,2011,library,Howard Chu,0,0,14,../concepts/lmdb.html
Bucardo,583,2009,application,Jon Jensen,0,0,18,../concepts/bucardo.html
Jule,584,2021,pl lisp,Mertcan Davulcu,1,1,112,../concepts/jule.html
LiveCode,585,2001,pl,,0,1,25,../concepts/livecode.html
Glicol,586,2020,musicalNotation,Qichao Lan,0,0,15,../concepts/glicol.html
FoxPRO,587,1992,pl,,0,0,17,../concepts/foxpro.html
JSON with Comments,588,2001,dataNotation,Muhammad Muzzammil,0,0,26,../concepts/json-with-comments.html
lispyscript,589,2012,pl lisp,Santosh Rajan,0,0,20,../concepts/lispyscript.html
Euphoria,590,1993,pl,Jeremy Cowgar and Robert Craig and Matt Lewis and Derek Parnell,0,0,36,../concepts/euphoria.html
dub-pm,591,2012,packageManager,Sönke Ludwig,0,0,16,../concepts/dub-pm.html
IGOR Pro,592,1993,pl,,1,1,20,../concepts/igor-pro.html
bpkg-pm,593,2017,packageManager,Joseph Werle,0,0,15,../concepts/bpkg-pm.html
DTD,594,1996,grammarLanguage,,21,24,13,../concepts/dtd.html
checked-c,595,2015,pl,David Tarditi,0,0,14,../concepts/checked-c.html
AsciiDoc,596,2002,textMarkup,Stuart Rackham,26,27,14,../concepts/asciidoc.html
Logos,597,2010,pl,,24,24,20,../concepts/logos.html
hamler,598,2019,pl,Feng Lee,0,0,17,../concepts/hamler.html
Tiny C Compiler,599,2001,compiler,Fabrice Bellard,0,0,14,../concepts/tinyc-compiler.html
GDScript,600,2008,pl 3d,,2,2,28,../concepts/gdscript.html
Easybuild,601,2014,application,Kenneth Hoste,0,0,17,../concepts/easybuild.html
ABC,602,1980,pl,,0,0,21,../concepts/abc.html
lamdu-editor,603,2011,editor,Eyal Lotem and Yair Chuchem,0,0,15,../concepts/lamdu-editor.html
Gherkin,604,2008,pl,,12,12,21,../concepts/gherkin.html
Angelscript,605,2003,pl,Andreas Jönsson,0,0,31,../concepts/angelscript.html
RFC,606,1969,notation,Steve Crocker,0,0,14,../concepts/rfc.html
Gzip,607,1992,binaryDataFormat,Jean-loup Gailly and Mark Adler,0,2,13,../concepts/gzip.html
Cg,608,2003,shadingLanguage,,0,0,18,../concepts/cg.html
Clipper,609,1985,pl,,0,0,23,../concepts/clipper.html
S,610,1976,pl,,0,0,16,../concepts/s.html
JScript,611,1996,pl,,0,0,18,../concepts/jscript.html
Stan,612,2012,pl,,0,0,22,../concepts/stan.html
Dojo,613,2005,pl,Alex Russal,0,0,14,../concepts/dojo.html
astroml,614,2012,library,Jacob Vanderplas,0,0,15,../concepts/astroml.html
Linotte,615,2005,pl,cpc6128,0,0,17,../concepts/linotte.html
Semantic Patch Language,616,2006,grammarLanguage,Yoann Padioleau,0,0,17,../concepts/smpl.html
Pact,617,2016,contractLanguage,Stuart Popejoy,0,0,18,../concepts/pact.html
PCRE,618,1997,queryLanguage,Philip Hazel,0,0,15,../concepts/pcre.html
ALGOL 68,619,1968,pl,Adriaan van Wijngaarden and Barry J. Mailloux and John E. L. Peck and Cornelis H. A. Koster,0,1,17,../concepts/algol-68.html
Desmos,620,2011,pl,Eli Luberoff,0,0,13,../concepts/desmos.html
Apache Maven,621,2004,application,,0,0,14,../concepts/maven-pom.html
manhood,622,2014,pl,,0,0,14,../concepts/manhood.html
basic calculator,623,1975,pl,,1,1,19,../concepts/bc.html
XSLT,624,1998,xmlFormat,,48,49,19,../concepts/xslt.html
Bucklescript,625,2010,pl,Evan Martin,0,0,13,../concepts/bucklescript.html
Ch,626,2003,pl,Ge Wang,0,0,22,../concepts/chuck.html
JADE,627,1996,pl,,0,0,23,../concepts/jade.html
Cobra,628,2006,pl,Charles Esterbrook,0,0,25,../concepts/cobra.html
chevrotain,629,2015,library,,0,0,14,../concepts/chevrotain.html
Jython,630,2001,pl,,0,0,18,../concepts/jython.html
Monkey,631,2011,pl,Anthony Diamond,0,0,36,../concepts/monkey.html
Limbo,632,1995,pl,Rob Pike,0,0,27,../concepts/limbo.html
PDF,633,1993,binaryDataFormat,,0,1,12,../concepts/pdf.html
BNF,634,1956,grammarLanguage,John Backus and Peter Naur,0,2,13,../concepts/bnf.html
score,635,2013,pl,Jean-Michaël Celerier,0,0,15,../concepts/score.html
Egison,636,2013,pl,Satoshi Egi,0,0,17,../concepts/egison.html
Objective-J,637,2008,pl,Tom Robinson and Francisco Tolmasky and Ross Boucher,0,0,27,../concepts/objective-j.html
INTERCAL,638,1972,esolang,,0,0,19,../concepts/intercal.html
bog,639,2020,pl,,0,0,20,../concepts/bog.html
Dasel,640,2020,queryLanguage library,Tom Wright,0,0,13,../concepts/dasel.html
OpenEdge ABL,641,2006,pl,,0,0,19,../concepts/openedge-advanced-business-language.html
Caml,642,1985,pl,Gérard Huet and Guy Cousineau and Ascánder Suárez and Pierre Weis and Michel Mauny,0,0,24,../concepts/caml.html
AT Protocol,643,2022,protocol microblogging,,0,0,13,../concepts/atprotocol.html
Guile,644,1993,pl,Aubrey Jaffer and Tom Lord and Miles Bader,0,1,20,../concepts/guile.html
erg,645,2022,pl,Shunsuke Shibayama,0,0,14,../concepts/erg.html
CFML,646,1995,pl,Jeremy Allaire,0,1,17,../concepts/cfml.html
tldr,647,2013,application,Romain Prieto,0,0,12,../concepts/tldr.html
LWJGL,648,2007,library,Caspian Prince,0,0,13,../concepts/lwjgl.html
Whitespace,649,2003,esolang,,0,0,15,../concepts/whitespace.html
inko,650,2015,pl,Yorick Peterse,0,0,17,../concepts/inko.html
Slash,651,2012,pl,Hailey Somerville,0,0,19,../concepts/slash.html
Prettier,652,2016,library,James Long,0,0,12,../concepts/prettier.html
Farcaster,653,2021,protocol microblogging,Dan Romero and Varun Srinivasan,0,0,14,../concepts/farcaster.html
GDB,654,1986,application,,0,0,16,../concepts/gdb.html
lobster,655,2011,pl,Wouter Van Oortmerssen,0,0,14,../concepts/lobster.html
fetlang,656,2017,esolang,,0,0,15,../concepts/fetlang.html
SNOBOL,657,1962,pl,David J. Farber and Ralph E. Griswold,0,0,28,../concepts/snobol.html
Pharo,658,2008,pl,,0,0,25,../concepts/pharo.html
CSS Doodle,659,2017,pl,Yuan Chuan,0,0,13,../concepts/css-doodle.html
bosque,660,2019,pl,,0,0,13,../concepts/bosque.html
circle-lang,661,2019,pl,Sean Baxter,0,0,14,../concepts/circle-lang.html
S-expressions,662,1960,dataNotation,,0,8,13,../concepts/s-expressions.html
Earl Grey,663,2014,pl,Olivier Breuleux,0,0,21,../concepts/earl-grey.html
spry,664,2015,pl,Göran Krampe,0,0,22,../concepts/spry.html
Handlebars,665,2010,template,,16,16,17,../concepts/handlebars.html
Croc,666,2006,pl,Jarrett Billingsley,0,2,26,../concepts/croc.html
HyperTalk,667,1987,pl,Dan Winkler,0,3,20,../concepts/hypertalk.html
ohm,668,2014,grammarLanguage,,0,0,13,../concepts/ohm.html
Nushell,669,2019,pl,Yehuda Katz,0,0,12,../concepts/nushell.html
Open Location Code,670,2014,geoCode,,0,0,13,../concepts/olc.html
Neut,671,2018,pl,,0,0,17,../concepts/neut.html
spider,672,2014,pl,Alon Gubkin,0,0,15,../concepts/spider.html
BlitzBasic,673,2000,pl,,0,0,21,../concepts/blitzbasic.html
netbeans-editor,674,2013,editor,pgebauer,0,0,13,../concepts/netbeans-editor.html
