List of people who created a programming language
=================================================

Here is the list of 1,423 people who created a language(s) in PLDB.

Help us out by adding any missing information with a pull request.
 https://github.com/breck7/pldb/blob/main/creators/creators.scroll

Download as JSON | TSV | CSV
 https://pldb.io/lists/../creators/creators.json
 https://pldb.io/lists/../creators/creators.tsv
 https://pldb.io/lists/../creators/creators.csv

name|_$^links|_$^born|_$^languages|_$^count|_$^topRank
Steve Furber|_$^|_$^1953|_$^ARM|_$^1|_$^95
Leslie Lamport|_$^home |_$^1941|_$^LaTeX - TLA|_$^2|_$^98
John Maloney|_$^|_$^|_$^Scratch - MicroBlocks|_$^2|_$^99
Leo Burd|_$^|_$^|_$^Scratch|_$^1|_$^99
Yasmin B. Kafai|_$^|_$^|_$^Scratch|_$^1|_$^99
Natalie Rusk|_$^|_$^|_$^Scratch|_$^1|_$^99
Brian Silverman|_$^|_$^|_$^Scratch|_$^1|_$^99
Mitchel Resnick|_$^|_$^1956|_$^Scratch|_$^1|_$^99
Roger Hui|_$^|_$^1953|_$^J|_$^1|_$^100
 Andy Stone|_$^|_$^|_$^Slim|_$^1|_$^101
Nenad Rakocevic|_$^|_$^|_$^Red - rsharp|_$^2|_$^102
Axel Liljencrantz|_$^|_$^|_$^fish - crush|_$^2|_$^103
Thorsten Ball|_$^ home |_$^|_$^fish|_$^1|_$^103
Massimo Banzi|_$^|_$^|_$^Arduino Programming Language|_$^1|_$^104
David Cuartielles|_$^|_$^|_$^Arduino Programming Language|_$^1|_$^104
Tom Igoe|_$^|_$^|_$^Arduino Programming Language|_$^1|_$^104
Gianluca Martino|_$^|_$^|_$^Arduino Programming Language|_$^1|_$^104
David Mellis|_$^|_$^|_$^Arduino Programming Language|_$^1|_$^104
Dwayne Richard Hipp|_$^home |_$^1961|_$^SQLite - Lemon|_$^2|_$^106
Terence Parr|_$^ home |_$^1964|_$^ANTLR|_$^1|_$^108
Leonardo de Moura|_$^ home|_$^|_$^Lean|_$^1|_$^112
Lee E. McMahon|_$^|_$^1931|_$^sed|_$^1|_$^114
John Resig|_$^home  |_$^1984|_$^JQuery|_$^1|_$^116
David Stern|_$^|_$^|_$^IDL|_$^1|_$^117
Thomas S Hatch|_$^ |_$^|_$^SaltStack|_$^1|_$^121
William Gould|_$^|_$^|_$^Stata|_$^1|_$^124
Paul Falstad|_$^|_$^|_$^Z shell|_$^1|_$^126
Alexander Medvednikov|_$^|_$^1993|_$^V|_$^1|_$^128
John Ousterhout|_$^ home   self_improvement|_$^1954|_$^Tcl - Homa|_$^2|_$^129
Andrey Sitnik|_$^|_$^|_$^PostCSS - SugarSS|_$^2|_$^130
Gary Grossman|_$^|_$^1962|_$^ActionScript|_$^1|_$^131
Phil Moorby|_$^|_$^1953|_$^Verilog|_$^1|_$^133
Prabhu Goel|_$^|_$^|_$^Verilog|_$^1|_$^133
Sylvan Clebsch|_$^|_$^|_$^Pony|_$^1|_$^134
Emily Eisenberg|_$^|_$^|_$^KaTeX|_$^1|_$^137
Paul O’Shannessy|_$^|_$^|_$^FLUX|_$^1|_$^139
John G. Kemeny|_$^|_$^1926|_$^BASIC - Dartmouth BASIC|_$^2|_$^140
Thomas E. Kurtz|_$^|_$^1928|_$^BASIC - Dartmouth BASIC|_$^2|_$^140
Laurent Le Brun|_$^|_$^|_$^starlark|_$^1|_$^141
Calvin Rose|_$^|_$^|_$^Fennel - janet|_$^2|_$^142
Paul Tagliamonte|_$^ home|_$^|_$^Hy|_$^1|_$^144
Sanjiva Weerawarana|_$^ home |_$^|_$^Ballerina|_$^1|_$^145
James Clark|_$^|_$^|_$^Ballerina - Trex|_$^2|_$^145
Sameera Jayasoma|_$^|_$^|_$^Ballerina|_$^1|_$^145
Hasitha Aravinda|_$^|_$^|_$^Ballerina|_$^1|_$^145
Srinath Perera|_$^|_$^|_$^Ballerina|_$^1|_$^145
Frank Leymann|_$^|_$^|_$^Ballerina|_$^1|_$^145
Slava Pestov|_$^ home|_$^|_$^Factor|_$^1|_$^148
Alberto Demichelis|_$^ |_$^|_$^Squirrel|_$^1|_$^149
John Warnock|_$^|_$^1940|_$^PostScript|_$^1|_$^150
Chuck Geschke|_$^|_$^1939|_$^PostScript|_$^1|_$^150
Doug Brotz|_$^|_$^|_$^PostScript|_$^1|_$^150
Ed Taft|_$^|_$^|_$^PostScript|_$^1|_$^150
Bill Paxton|_$^|_$^1949|_$^PostScript|_$^1|_$^150
Bob Nystrom|_$^|_$^|_$^Wren - Vigil|_$^2|_$^151
Alexis Sellier|_$^|_$^|_$^Less|_$^1|_$^152
Chris Wanstrath|_$^|_$^|_$^mustache|_$^1|_$^154
Scott Fahlman|_$^home  self_improvement|_$^1948|_$^Common Lisp - Corman Common Lisp - Spice Lisp|_$^3|_$^156
Richard P. Gabriel|_$^|_$^1949|_$^Common Lisp - Corman Common Lisp|_$^2|_$^156
David A. Moon|_$^home |_$^1956|_$^Common Lisp - Plot - Corman Common Lisp - Lisp Machine Lisp - lunar|_$^5|_$^156
Kent Pitman|_$^|_$^1956|_$^Common Lisp - Corman Common Lisp|_$^2|_$^156
Dan Weinreb|_$^|_$^1959|_$^Common Lisp - Corman Common Lisp|_$^2|_$^156
Joseph J. Allaire|_$^|_$^1969|_$^ColdFusion|_$^1|_$^159
Bertrand Meyer|_$^|_$^1950|_$^Eiffel|_$^1|_$^163
Kenton Varda|_$^|_$^|_$^Cap'n Proto|_$^1|_$^164
David Majda|_$^|_$^|_$^PEG.js|_$^1|_$^167
Neil Pappalardo|_$^|_$^|_$^MUMPS|_$^1|_$^170
Damien P. George|_$^|_$^|_$^MicroPython|_$^1|_$^173
Andres Gutierrez|_$^|_$^|_$^Zephir|_$^1|_$^175
Dave Longley|_$^|_$^|_$^JSON-LD|_$^1|_$^177
Uri Wilensky|_$^|_$^|_$^NetLogo|_$^1|_$^178
Manjunath Kudlur|_$^|_$^|_$^TensorFlow|_$^1|_$^180
Armin Ronacher|_$^|_$^|_$^Jinja|_$^1|_$^182
Robin Milner|_$^|_$^1934|_$^ML|_$^1|_$^183
David Goodger|_$^|_$^|_$^reStructuredText|_$^1|_$^184
Stephen Dolan|_$^|_$^|_$^jq|_$^1|_$^186
Mike Lesk|_$^|_$^1945|_$^Lex|_$^1|_$^187
Eric Schmidt|_$^|_$^1955|_$^Lex|_$^1|_$^187
John Otander|_$^|_$^|_$^MDX|_$^1|_$^188
Erik Svedäng|_$^|_$^|_$^carp|_$^1|_$^193
Wojciech Danilo|_$^|_$^|_$^Luna - Enso|_$^2|_$^196
John W. Eaton|_$^|_$^|_$^GNU Octave|_$^1|_$^197
Daan Leijen|_$^|_$^|_$^Koka - Parsec|_$^2|_$^198
Christoffer Lernö|_$^|_$^|_$^C3|_$^1|_$^202
Dave Cunningham|_$^|_$^|_$^Jsonnet|_$^1|_$^203
Stephen Bourne|_$^|_$^1944|_$^Bourne shell|_$^1|_$^208
Mike Bostock|_$^ home  |_$^|_$^D3.js - Observable - HTL - Observable Framework - Observable Plot|_$^5|_$^211
Kartik Chandra|_$^ home |_$^|_$^Nearley|_$^1|_$^212
Maximilian Roos|_$^|_$^|_$^PRQL|_$^1|_$^214
Victor M. Alvarez|_$^|_$^|_$^YARA|_$^1|_$^215
Anthony Martin|_$^|_$^|_$^Bicep|_$^1|_$^216
Evan Martin|_$^|_$^|_$^Ninja - Bucklescript|_$^2|_$^221
John D. Hunter|_$^|_$^1968|_$^Matplotlib|_$^1|_$^223
Alexandre Go|_$^|_$^|_$^highlight.js|_$^1|_$^224
K. Rustan M. Leino|_$^|_$^|_$^Dafny|_$^1|_$^227
Benjamin Lupton|_$^|_$^|_$^CSON|_$^1|_$^228
Vern Paxson|_$^|_$^1969|_$^FLEX|_$^1|_$^230
Wes McKinney|_$^ home  |_$^1985|_$^Pandas - Ibis|_$^2|_$^233
Ulf Norell|_$^|_$^|_$^Agda|_$^1|_$^234
Catarina Coquand|_$^|_$^|_$^Agda|_$^1|_$^234
Troels Henriksen|_$^|_$^|_$^Futhark|_$^1|_$^237
Cosmin Oancea|_$^|_$^|_$^Futhark|_$^1|_$^237
Martin Elsman|_$^|_$^|_$^Futhark|_$^1|_$^237
Louis Pilfold|_$^|_$^|_$^gleam|_$^1|_$^238
Ben Darnell|_$^|_$^|_$^tornado|_$^1|_$^246
Brett Taylor|_$^|_$^|_$^tornado|_$^1|_$^246
Richard Stallman|_$^home |_$^1953|_$^Emacs Lisp - GCC - Lisp Machine Lisp|_$^3|_$^250
Julien Verlaguet|_$^|_$^|_$^Hack - LinearML|_$^2|_$^255
Alok Menghrajani|_$^|_$^|_$^Hack|_$^1|_$^255
Drew Paroski|_$^|_$^|_$^Hack|_$^1|_$^255
Ronan Collobert|_$^|_$^|_$^PyTorch|_$^1|_$^256
Stephen Kleene|_$^|_$^|_$^Regular Expressions|_$^1|_$^257
Joseph Humfrey|_$^|_$^|_$^ink|_$^1|_$^259
JJ Allaire|_$^|_$^|_$^RMarkdown|_$^1|_$^260
Chris Cason|_$^|_$^|_$^POV-Ray SDL|_$^1|_$^261
Robert Fourer|_$^|_$^1949|_$^AMPL|_$^1|_$^262
David Gay|_$^|_$^|_$^AMPL|_$^1|_$^262
Gavin King|_$^|_$^|_$^Ceylon|_$^1|_$^263
Christian Zangl|_$^|_$^|_$^Hjson|_$^1|_$^264
