List of people who created a programming language
=================================================

Here is the list of 1,423 people who created a language(s) in PLDB.

Help us out by adding any missing information with a pull request.
 https://github.com/breck7/pldb/blob/main/creators/creators.scroll

Download as JSON | TSV | CSV
 https://pldb.io/lists/../creators/creators.json
 https://pldb.io/lists/../creators/creators.tsv
 https://pldb.io/lists/../creators/creators.csv

name|_$^links|_$^born|_$^languages|_$^count|_$^topRank
J. E. Saltzer|_$^|_$^|_$^RUNOFF|_$^1|_$^1290
Joona Piirainen|_$^|_$^|_$^fp|_$^1|_$^1291
Cliff Shaw|_$^|_$^|_$^JOSS|_$^1|_$^1292
Theodore H Smith|_$^|_$^|_$^Speedie|_$^1|_$^1295
Lingdong Huang|_$^ home |_$^1997|_$^文言文編程語言 - Wax - PSVG|_$^3|_$^1298
Ken Kahn|_$^|_$^|_$^ToonTalk - Janus|_$^2|_$^1299
Rich Drechsler|_$^|_$^|_$^Yoix|_$^1|_$^1302
John Mocenigo|_$^|_$^|_$^Yoix|_$^1|_$^1302
Stanley Cohen|_$^|_$^|_$^Speakeasy|_$^1|_$^1306
Jose E. Marchesi|_$^home|_$^1980|_$^Recfiles - GNU Poke|_$^2|_$^1308
Alexander Rødseth|_$^|_$^|_$^Battlestar|_$^1|_$^1311
Seth Tucker Taft|_$^|_$^|_$^parasail|_$^1|_$^1313
Stan Hebben|_$^|_$^|_$^zenscript|_$^1|_$^1315
Isaac Grosof|_$^|_$^|_$^Pyth|_$^1|_$^1316
Jesse Duffield|_$^|_$^|_$^OK|_$^1|_$^1321
Edward A. Ashcroft|_$^|_$^|_$^LUCID|_$^1|_$^1322
William W. Wadge|_$^|_$^|_$^LUCID|_$^1|_$^1322
Wong Jia Hau|_$^|_$^|_$^keli|_$^1|_$^1325
Lucio M. Tato|_$^|_$^|_$^LiteScript|_$^1|_$^1328
James Cordy|_$^|_$^|_$^TXL - SP/k|_$^2|_$^1330
Shao Cheng|_$^|_$^|_$^asterius-compiler|_$^1|_$^1332
Sam Lindley|_$^|_$^|_$^Frank|_$^1|_$^1333
Craig McLaughlin|_$^|_$^|_$^Frank|_$^1|_$^1333
Lukas Convent|_$^|_$^|_$^Frank|_$^1|_$^1333
Hg0428|_$^|_$^|_$^Aardvark - Fardlang|_$^2|_$^1341
JustCoding123|_$^|_$^|_$^Aardvark - Fardlang|_$^2|_$^1341
CompilingCoder|_$^|_$^|_$^Aardvark - Fardlang|_$^2|_$^1341
TheBoys619|_$^|_$^|_$^Aardvark|_$^1|_$^1341
PlasDev|_$^|_$^|_$^Aardvark|_$^1|_$^1341
ZDev1|_$^|_$^|_$^Aardvark|_$^1|_$^1341
Jacob Torrey|_$^|_$^|_$^Crema|_$^1|_$^1348
Jared Wright|_$^|_$^|_$^Crema|_$^1|_$^1348
Snorri Agnarsson|_$^|_$^|_$^Fjölnir|_$^1|_$^1349
Joakim Ahnfelt-Rønne|_$^|_$^|_$^topshell|_$^1|_$^1351
Naitik Shah|_$^|_$^|_$^Dak|_$^1|_$^1354
Dr. Martin C. Carlisle|_$^|_$^|_$^A#|_$^1|_$^1361
Lt Col Ricky Sward|_$^|_$^|_$^A#|_$^1|_$^1361
Maj Jeff Humphries|_$^|_$^|_$^A#|_$^1|_$^1361
James Henri Haydon|_$^|_$^|_$^Lawvere|_$^1|_$^1362
Jonas Wanke|_$^|_$^|_$^Candy|_$^1|_$^1367
Marcel Garus|_$^|_$^|_$^Candy|_$^1|_$^1367
Adam Blažek|_$^|_$^|_$^Xidoc|_$^1|_$^1368
Joshua Barretto|_$^|_$^|_$^Tao|_$^1|_$^1370
Yoichi Hirai|_$^|_$^|_$^bamboo|_$^1|_$^1371
Phil Winterbottom|_$^|_$^|_$^ALEF|_$^1|_$^1372
Ward Cunningham|_$^|_$^|_$^txtzyme|_$^1|_$^1374
Paul Stansifer|_$^|_$^|_$^unseemly|_$^1|_$^1377
Jean Yang|_$^|_$^|_$^Jeeves|_$^1|_$^1380
Børge R. Christensen|_$^|_$^|_$^COMAL|_$^1|_$^1381
Benedict Løfstedt|_$^|_$^|_$^COMAL|_$^1|_$^1381
Michael Coblenz|_$^|_$^|_$^obsidian|_$^1|_$^1382
Marjan Sirjani|_$^|_$^|_$^Rebeca Modeling Language|_$^1|_$^1387
Marcus Westin|_$^|_$^|_$^Fun|_$^1|_$^1388
James Jianbo Huang|_$^|_$^|_$^Judoscript|_$^1|_$^1391
Stephen Cross|_$^|_$^|_$^loci|_$^1|_$^1394
Vincent Cecil Secades|_$^|_$^|_$^CMS-2|_$^1|_$^1395
David Clark Rummler|_$^|_$^|_$^CMS-2|_$^1|_$^1395
Johan Johansson|_$^|_$^|_$^carth|_$^1|_$^1396
David Johnson-Davies|_$^|_$^|_$^ulisp|_$^1|_$^1397
Ben Lerner|_$^|_$^|_$^Pyret|_$^1|_$^1404
Mark van Gulik|_$^|_$^|_$^Avail|_$^1|_$^1405
Todd L. Smith|_$^|_$^|_$^Avail|_$^1|_$^1405
Warren Teitelman|_$^|_$^|_$^Interlisp|_$^1|_$^1406
Ronald Kaplan|_$^|_$^|_$^Interlisp|_$^1|_$^1406
Dan Adler|_$^|_$^|_$^Language Server Index Format|_$^1|_$^1407
Neeilan Selvalingam|_$^|_$^|_$^neeilang|_$^1|_$^1408
Chris Gray|_$^|_$^|_$^Draco|_$^1|_$^1415
Michael Nielsen|_$^|_$^|_$^C/AL|_$^1|_$^1416
Steven Pemberton|_$^|_$^|_$^Invisible XML|_$^1|_$^1419
Manuel Simoni|_$^|_$^|_$^taf - edgelisp|_$^2|_$^1425
Šarūnas Navickas|_$^|_$^|_$^Rita|_$^1|_$^1427
Michael Dvorkin|_$^|_$^|_$^Ante|_$^1|_$^1428
John-David Dalton|_$^ |_$^|_$^Lodash|_$^1|_$^1429
Yutaka Saito|_$^|_$^|_$^gura|_$^1|_$^1431
K. Lange|_$^|_$^|_$^Kuroko|_$^1|_$^1436
Alexandr Zahatski|_$^|_$^|_$^Podlite|_$^1|_$^1440
Thomas Bradford|_$^|_$^|_$^a Lisp Environment|_$^1|_$^1445
Jonathan Aldrich|_$^|_$^|_$^Plaid|_$^1|_$^1450
Evgeny Poberezkin|_$^|_$^|_$^JSONScript|_$^1|_$^1452
Jeffrey Heer|_$^ home  |_$^1979|_$^Vega - Arquero|_$^2|_$^1458
Victor Yngve|_$^|_$^|_$^COMIT|_$^1|_$^1459
Dennis Mitchell|_$^|_$^|_$^Jelly|_$^1|_$^1464
Daniel X Moore|_$^home |_$^|_$^Civet - Hera|_$^2|_$^1465
Max Reason|_$^|_$^|_$^Xbasic|_$^1|_$^1467
Jeremy Wall|_$^|_$^|_$^UCG|_$^1|_$^1468
Isaac Shelton|_$^|_$^|_$^Adept|_$^1|_$^1469
John Lloyd|_$^|_$^|_$^Gödel (Goedel)|_$^1|_$^1472
Patricia Hill|_$^|_$^|_$^Gödel (Goedel)|_$^1|_$^1472
Janko Metelko|_$^|_$^|_$^Rye|_$^1|_$^1473
Josh Yudaken|_$^|_$^|_$^SQRL|_$^1|_$^1474
Pete Hunt|_$^|_$^|_$^SQRL|_$^1|_$^1474
Julian Tempelsman|_$^|_$^|_$^SQRL|_$^1|_$^1474
Paul Mou|_$^|_$^|_$^SQRL|_$^1|_$^1474
Yunjing Xu|_$^|_$^|_$^SQRL|_$^1|_$^1474
David Newman|_$^|_$^|_$^SQRL|_$^1|_$^1474
Fredrik Kjolstad|_$^ home|_$^|_$^Simit|_$^1|_$^1479
Erik Moqvist|_$^|_$^|_$^mys|_$^1|_$^1481
Karl Robillard|_$^|_$^|_$^Boron - orca-lang|_$^2|_$^1482
Yosbel Marín|_$^|_$^|_$^RamdaScript|_$^1|_$^1483
Kayne Ruse|_$^|_$^|_$^Toy|_$^1|_$^1488
Mario Montoya|_$^|_$^|_$^tablam|_$^1|_$^1496
Yves Caseau|_$^|_$^|_$^CLAIRE|_$^1|_$^1498
Ethan Nicholas|_$^|_$^|_$^Frost|_$^1|_$^1502
Denso Wave|_$^|_$^|_$^QR code|_$^1|_$^1504
Florian Rappl|_$^|_$^|_$^mages|_$^1|_$^1510
Calvin Mooers|_$^|_$^|_$^TRAC|_$^1|_$^1512
DJMcMayhem|_$^|_$^|_$^Brain-Flak - V|_$^2|_$^1514
Andrew Stein|_$^|_$^|_$^Forml|_$^1|_$^1515
Anthony M. Cook|_$^|_$^|_$^Blacklight|_$^1|_$^1516
Ulrich Hecht|_$^|_$^|_$^DragonBASIC|_$^1|_$^1518
John George Kemeny|_$^|_$^|_$^True BASIC|_$^1|_$^1520
Thomas Eugene Kurtz|_$^|_$^|_$^True BASIC|_$^1|_$^1520
Jonah Fox|_$^|_$^|_$^Kaffeine|_$^1|_$^1523
Radon Rosborough|_$^|_$^|_$^Kalyn|_$^1|_$^1525
Steve Vickers|_$^|_$^|_$^Sinclair BASIC|_$^1|_$^1530
Josh Huelsman|_$^|_$^|_$^jiyu|_$^1|_$^1532
Caspian Prince|_$^|_$^|_$^LWJGL - thjson|_$^2|_$^1536
Nevil Brownlee|_$^|_$^|_$^Small|_$^1|_$^1539
Christian Pietsch|_$^|_$^|_$^OpenComal|_$^1|_$^1541
Krishna Subramanian|_$^|_$^|_$^Statsplorer|_$^1|_$^1544
Chat Wacharamanotham|_$^|_$^|_$^Statsplorer|_$^1|_$^1544
somebody1234|_$^|_$^|_$^Charcoal|_$^1|_$^1548
Cameron Purdy|_$^|_$^|_$^Ecstasy|_$^1|_$^1549
Paw Møller|_$^|_$^|_$^owen-lang|_$^1|_$^1552
Valentin Heun|_$^|_$^|_$^hrqr|_$^1|_$^1553
Scott Moore|_$^|_$^|_$^IP Pascal|_$^1|_$^1559
Nick Mathewson|_$^|_$^|_$^polyglot-compiler|_$^1|_$^1562
Dennis Griffith|_$^|_$^|_$^sill|_$^1|_$^1564
Mangle Team|_$^|_$^|_$^Mangle|_$^1|_$^1572
Ricci Adams|_$^|_$^|_$^NilScript|_$^1|_$^1581
Ron Garret|_$^|_$^|_$^Ciel|_$^1|_$^1583
Jason Evans|_$^|_$^|_$^Onyx|_$^1|_$^1584
Sébastien Pierre|_$^|_$^|_$^Sugar|_$^1|_$^1585
Marcin Konarski|_$^|_$^|_$^huginn|_$^1|_$^1586
Compl Yue|_$^|_$^|_$^Đ|_$^1|_$^1590
Lee Ki-Yeul|_$^|_$^|_$^orca|_$^1|_$^1592
Jean-Christophe Baillie|_$^|_$^|_$^Urbiscript|_$^1|_$^1593
Lars Brinkhoff|_$^|_$^|_$^MUDDL|_$^1|_$^1596
Cameron McKinnon|_$^|_$^|_$^parenthetic|_$^1|_$^1597
Bastian Müller|_$^|_$^|_$^ralph|_$^1|_$^1606
Aurelio Jargas|_$^|_$^|_$^Txt2tags|_$^1|_$^1608
Florent Gallaire|_$^|_$^|_$^Txt2tags|_$^1|_$^1608
Jendrik Seipp|_$^|_$^|_$^Txt2tags|_$^1|_$^1608
Superstar64|_$^|_$^|_$^Aith|_$^1|_$^1615
MUME user|_$^|_$^|_$^Mudlle|_$^1|_$^1616
Xavier Badosa|_$^|_$^|_$^JSON-stat|_$^1|_$^1617
Laurent Prud'hon|_$^|_$^|_$^typecobol|_$^1|_$^1618
Michael Stonebraker|_$^|_$^|_$^QUEL|_$^1|_$^1621
Ramkumar Ramachandra|_$^|_$^|_$^rhine|_$^1|_$^1622
P. J. Plauger|_$^|_$^1944|_$^Little Implementation Language|_$^1|_$^1623
Francis McCabe|_$^|_$^|_$^Go!|_$^1|_$^1626
Keith Clark|_$^|_$^|_$^Go!|_$^1|_$^1626
Caden Haustein|_$^|_$^|_$^mlatu|_$^1|_$^1633
Gustaf Neumann|_$^|_$^|_$^XOTcl|_$^1|_$^1652
Uwe Zdun|_$^|_$^|_$^XOTcl|_$^1|_$^1652
Jürg Gutknecht|_$^|_$^|_$^Zonnon|_$^1|_$^1653
Alessandro Ghignola|_$^|_$^|_$^Linoleum (L.in.oleum)|_$^1|_$^1654
Stephan Brandauer|_$^|_$^|_$^Encore|_$^1|_$^1656
Elias Castegren|_$^|_$^|_$^Encore|_$^1|_$^1656
Dave Clarke|_$^|_$^|_$^Encore|_$^1|_$^1656
Cameron McEfee|_$^|_$^|_$^grid-notation|_$^1|_$^1658
James Keane|_$^|_$^|_$^Ham - lamderp|_$^2|_$^1659
Chris Clark|_$^|_$^|_$^lambda-zero|_$^1|_$^1660
Theodore H. Smith|_$^|_$^|_$^jeebox|_$^1|_$^1663
Butler Lampson|_$^|_$^|_$^Euclid|_$^1|_$^1664
Christine Dodrill|_$^|_$^|_$^h|_$^1|_$^1671
Matt Bierner|_$^|_$^|_$^Khepri|_$^1|_$^1675
Yon Fernández de Retana|_$^home|_$^|_$^Goal - Frundis|_$^2|_$^1676
David N. Welton|_$^|_$^|_$^hecl|_$^1|_$^1677
Wolfgang Kechel|_$^|_$^|_$^hecl|_$^1|_$^1677
Tim Sheard|_$^|_$^|_$^omega|_$^1|_$^1678
Sven-Bodo Scholz|_$^|_$^|_$^SAC|_$^1|_$^1679
Clemens Grelck|_$^|_$^|_$^SAC|_$^1|_$^1679
elucent|_$^|_$^|_$^Scheme 2-D|_$^1|_$^1680
Douglas Simons|_$^|_$^|_$^SenseTalk|_$^1|_$^1681
Sam Auciello|_$^|_$^|_$^Hot Cocoa Lisp|_$^1|_$^1682
Alexander Ivanov|_$^|_$^|_$^hivemind|_$^1|_$^1684
Craig Chambers|_$^|_$^|_$^CECIL|_$^1|_$^1685
Steve Gregory|_$^|_$^|_$^Parlog|_$^1|_$^1689
Keith L. Clark|_$^|_$^|_$^Parlog|_$^1|_$^1689
Thiago Silva|_$^|_$^|_$^G-Portugol|_$^1|_$^1692
Reid Tatge|_$^|_$^|_$^mdl|_$^1|_$^1693
Johan Georg Granström|_$^|_$^|_$^IPL|_$^1|_$^1697
Tiago Campos|_$^|_$^|_$^kei|_$^1|_$^1698
Ulrich Hoffmann|_$^|_$^|_$^preforth|_$^1|_$^1699
Spydr06|_$^|_$^|_$^CSpydr - Astatine|_$^2|_$^1701
David Roberts|_$^|_$^|_$^Subleq|_$^1|_$^1706
kifuan|_$^|_$^|_$^HeLang|_$^1|_$^1711
Andrzej Gasienica-Samek|_$^|_$^|_$^nianiolang|_$^1|_$^1714
Poeta Kodu|_$^|_$^|_$^RigC|_$^1|_$^1715
Atle Solbakken|_$^|_$^|_$^P*|_$^1|_$^1723
Ellie Kanning-Dawn|_$^home|_$^|_$^Horse64 - Moose64|_$^2|_$^1726
Lépine Kong|_$^|_$^|_$^Readable|_$^1|_$^1734
Steven Ericsson-Zenith|_$^|_$^|_$^Ease|_$^1|_$^1736
Juhana Leinonen|_$^|_$^|_$^HUGO|_$^1|_$^1741
Jon Whitehead|_$^|_$^|_$^maraca-lang|_$^1|_$^1742
Sebastian Karlsson|_$^|_$^|_$^GLMS|_$^1|_$^1748
John Foderaro|_$^|_$^|_$^Allegro Common Lisp|_$^1|_$^1751
Gabe|_$^|_$^|_$^Bizubee - Bizubee|_$^2|_$^1752
Holger Ludvigsen|_$^|_$^|_$^hilvl|_$^1|_$^1754
Batiste Bieler|_$^|_$^|_$^CokeScript|_$^1|_$^1762
Dylan Madisetti|_$^|_$^|_$^toki sona|_$^1|_$^1765
Peter Graf|_$^|_$^|_$^pinto|_$^1|_$^1767
Martin Dørum|_$^|_$^|_$^JCOF|_$^1|_$^1776
Francisco Sant'Anna|_$^|_$^|_$^Céu|_$^1|_$^1780
Rommel MARTINEZ|_$^|_$^|_$^mimix-stream-language|_$^1|_$^1781
Nicolaas Govert de Bruijn|_$^|_$^|_$^De Bruijn index|_$^1|_$^1784
Han Tuzun|_$^|_$^|_$^hr-code|_$^1|_$^1787
Aneil Mallavarapu|_$^|_$^|_$^Little b|_$^1|_$^1789
playXE|_$^|_$^|_$^Jazz|_$^1|_$^1796
Kamila Szewczyk|_$^|_$^|_$^KamilaLisp|_$^1|_$^1799
Christian Jullien|_$^|_$^|_$^OpenLisp|_$^1|_$^1800
Jens Mönig|_$^ |_$^|_$^MicroBlocks|_$^1|_$^1802
Bernat Romagosa|_$^ home|_$^|_$^MicroBlocks|_$^1|_$^1802
Seth Robinson|_$^|_$^|_$^Dink Smallwood|_$^1|_$^1803
Edward de Jong|_$^|_$^|_$^beads-lang|_$^1|_$^1805
Microsoft|_$^|_$^|_$^AL - USB|_$^2|_$^1812
Iikka Hauhio|_$^|_$^|_$^tampio|_$^1|_$^1815
Jay McCarthy|_$^|_$^|_$^remix|_$^1|_$^1824
Anssi Halmeaho|_$^|_$^|_$^funl|_$^1|_$^1826
Eduard Urbach|_$^|_$^|_$^flua|_$^1|_$^1827
Andrew Yoon|_$^|_$^|_$^blur-markup-language|_$^1|_$^1828
Bram Moolenaar|_$^|_$^|_$^Zimbu|_$^1|_$^1829
Franz-Josef Grosch|_$^|_$^|_$^Blech|_$^1|_$^1830
Simeon Chaos|_$^|_$^|_$^Taijilang - daonode|_$^2|_$^1832
Darryl Abbate|_$^|_$^|_$^Riff|_$^1|_$^1837
PhoenixHimself|_$^ |_$^|_$^Amber|_$^1|_$^1838
Sean Micklethwaite|_$^|_$^|_$^latte-js|_$^1|_$^1840
Patrick Bowen|_$^|_$^|_$^Insitux|_$^1|_$^1841
Palash Bauri|_$^|_$^|_$^MewMew - Mewl|_$^2|_$^1848
lorentzj|_$^|_$^|_$^Serious|_$^1|_$^1860
https://en.wikipedia.org/wiki/Eugen_Rochko|_$^|_$^|_$^Mastodon|_$^1|_$^1861
Nikolas S. Boyd|_$^|_$^|_$^Bistro - hoot-smalltalk|_$^2|_$^1862
Daniel Lawrence Lu|_$^|_$^|_$^dllup|_$^1|_$^1863
Paul J. Leach|_$^|_$^|_$^UUID|_$^1|_$^1865
ThePuzzlemaker|_$^|_$^|_$^Calypso|_$^1|_$^1867
Paul Gordon|_$^|_$^|_$^Truth - YESS|_$^2|_$^1869
W. Stanley Brown|_$^|_$^|_$^ALTRAN|_$^1|_$^1871
Christopher Lutz|_$^|_$^|_$^Janus|_$^1|_$^1872
Howard Derby|_$^|_$^|_$^Janus|_$^1|_$^1872
Tetsuo Yokoyama|_$^|_$^|_$^Janus|_$^1|_$^1872
Robert Glück|_$^|_$^|_$^Janus|_$^1|_$^1872
Matthew Steel|_$^|_$^|_$^6gunz|_$^1|_$^1874
Dan Libby|_$^|_$^|_$^RSS|_$^1|_$^1875
Ramanathan V. Guha|_$^|_$^|_$^RSS|_$^1|_$^1875
Denis Sureau|_$^|_$^|_$^Scriptol|_$^1|_$^1876
Andy Gavin|_$^|_$^|_$^Game Oriented Assembly Lisp|_$^1|_$^1878
Markus Voelter|_$^|_$^|_$^datev|_$^1|_$^1881
Sergej Koˇsˇcejev|_$^|_$^|_$^datev|_$^1|_$^1881
Leon Bottou|_$^|_$^|_$^Lush|_$^1|_$^1885
Yann Le Cun|_$^|_$^|_$^Lush|_$^1|_$^1885
Neng-Fa Zhou|_$^|_$^|_$^Picat|_$^1|_$^1886
Jonathan Fruhman|_$^|_$^|_$^Picat|_$^1|_$^1886
Emina Torlak|_$^|_$^|_$^rosette-lang|_$^1|_$^1888
Rastislav Bodik|_$^|_$^|_$^rosette-lang|_$^1|_$^1888
Marc Auberer|_$^|_$^|_$^Spice|_$^1|_$^1890
Zef Hemel|_$^|_$^|_$^Mobl|_$^1|_$^1893
Corrado Böhm|_$^|_$^|_$^P′′|_$^1|_$^1895
RoMeAh|_$^|_$^|_$^BlazeX|_$^1|_$^1896
Dave Griffiths|_$^|_$^|_$^co2|_$^1|_$^1897
Arno Gourdol|_$^ home|_$^|_$^MathJSON - Cortex|_$^2|_$^1900
Fabio de Souza Villaca Medeiros|_$^|_$^|_$^Hook|_$^1|_$^1902
Aliaksandr Zahatski|_$^|_$^|_$^Pod6|_$^1|_$^1907
Jonathan Avery|_$^|_$^|_$^juicy|_$^1|_$^1909
Emil Post|_$^|_$^|_$^Post production|_$^1|_$^1910
Jan Max Meyer|_$^|_$^|_$^RapidBatch|_$^1|_$^1915
Per Bothner|_$^|_$^|_$^Kawa|_$^1|_$^1920
Mark Hahn|_$^|_$^|_$^fjs|_$^1|_$^1922
Zachary Sakowitz|_$^|_$^|_$^Storymatic|_$^1|_$^1924
Matheus Dias de Souza|_$^|_$^|_$^Violent ES|_$^1|_$^1925
Yuya Watari|_$^|_$^|_$^Ripple - Calc4|_$^2|_$^1931
Yassen Bantchev|_$^|_$^|_$^U|_$^1|_$^1932
Raja Mukherji|_$^|_$^|_$^Minilang|_$^1|_$^1933
Yoshiki Ohshima|_$^|_$^|_$^shadama|_$^1|_$^1934
Dan Amelang|_$^|_$^|_$^shadama|_$^1|_$^1934
Bert Freudenberg|_$^|_$^|_$^shadama|_$^1|_$^1934
Victor Maia|_$^|_$^|_$^formality|_$^1|_$^1936
James Edwards|_$^|_$^|_$^jedlang|_$^1|_$^1937
Pablo H. Reda|_$^|_$^|_$^r3|_$^1|_$^1938
Zach Perkitny|_$^|_$^|_$^emerald-lang|_$^1|_$^1944
Christian Budde Christensen|_$^|_$^|_$^gintonic|_$^1|_$^1945
Cedric Cellier|_$^|_$^|_$^ramen|_$^1|_$^1947
Terry A. Davis|_$^|_$^|_$^holyc|_$^1|_$^1951
Nathan Merrill|_$^|_$^|_$^elegance|_$^1|_$^1953
Eddie aka. tamamu|_$^|_$^|_$^Macchiato|_$^1|_$^1954
Roger Corman|_$^|_$^|_$^Corman Common Lisp|_$^1|_$^1955
Marijn Haverbeke|_$^|_$^|_$^lezer|_$^1|_$^1957
David Szafranski|_$^|_$^|_$^XBLite|_$^1|_$^1963
BBK|_$^|_$^|_$^BeBasic|_$^1|_$^1964
Jeff Walker|_$^|_$^|_$^adamant|_$^1|_$^1965
S.S. Mikhalkovich|_$^|_$^|_$^PascalABC.NET|_$^1|_$^1966
Ivan Bondarev|_$^|_$^|_$^PascalABC.NET|_$^1|_$^1966
A.V. Tkachuk|_$^|_$^|_$^PascalABC.NET|_$^1|_$^1966
S.O. Ivanov|_$^|_$^|_$^PascalABC.NET|_$^1|_$^1966
Mehmet Hakan Satman|_$^|_$^|_$^Fuzuli|_$^1|_$^1968
monsterkodi|_$^|_$^|_$^noon - kode|_$^2|_$^1970
Andy Ross|_$^|_$^|_$^Nasal|_$^1|_$^1980
David A. Wheeler|_$^|_$^|_$^Sweet Expressions|_$^1|_$^1984
Alan Manuel K. Gloria|_$^|_$^|_$^Sweet Expressions|_$^1|_$^1984
Nils M Holm|_$^home|_$^|_$^T3X - Kilo LISP - mLite - Klong|_$^4|_$^1985
Joe Jevnik|_$^|_$^|_$^phorth|_$^1|_$^1990
Mosha Pasumansky|_$^|_$^|_$^MultiDimensional eXpressions|_$^1|_$^1991
Bob Barton|_$^|_$^|_$^BALGOL|_$^1|_$^1992
Antonio Albano|_$^|_$^|_$^Fibonacci|_$^1|_$^1994
Giorgio Ghelli|_$^|_$^|_$^Fibonacci|_$^1|_$^1994
and Renzo Orsini|_$^|_$^|_$^Fibonacci|_$^1|_$^1994
Vaughan Ronald Pratt|_$^|_$^|_$^CGOL|_$^1|_$^1996
Carl Gundel|_$^|_$^|_$^Liberty BASIC|_$^1|_$^2007
Daniel Weinreb|_$^|_$^|_$^Lisp Machine Lisp|_$^1|_$^2009
ISO Technical Committee TC 154|_$^|_$^|_$^ISO 8601|_$^1|_$^2016
Roger Dannenberg|_$^|_$^|_$^Nyquist|_$^1|_$^2018
Richard Brodie|_$^|_$^|_$^RTF|_$^1|_$^2019
Charles Simonyi|_$^|_$^|_$^RTF|_$^1|_$^2019
David Luebbert|_$^|_$^|_$^RTF|_$^1|_$^2019
Ondřej Kocián|_$^|_$^|_$^PearScript|_$^1|_$^2023
Gerald Bauer|_$^|_$^|_$^texti|_$^1|_$^2024
Ray Stubbs|_$^|_$^|_$^ten|_$^1|_$^2032
Kevin Atkinson|_$^|_$^|_$^zl|_$^1|_$^2033
Abdulaziz Ghuloum|_$^|_$^|_$^Ikarus Scheme implementation|_$^1|_$^2036
D.B. Wortman|_$^|_$^|_$^SP/k|_$^1|_$^2038
D.T. Barnard|_$^|_$^|_$^SP/k|_$^1|_$^2038
Arjun Nair|_$^|_$^|_$^ircis|_$^1|_$^2043
Hannah Ritchie|_$^|_$^|_$^Explorer|_$^1|_$^2050
Shahid Ahmad|_$^|_$^|_$^Explorer|_$^1|_$^2050
zplusfour|_$^|_$^|_$^Fardlang|_$^1|_$^2056
niql|_$^|_$^|_$^Wu|_$^1|_$^2059
Richard Fobes|_$^|_$^|_$^Dashrep|_$^1|_$^2061
Kevin Lawler|_$^|_$^|_$^kerf|_$^1|_$^2062
Joao Marcelo Brito|_$^|_$^|_$^JLang|_$^1|_$^2072
Michael Allan|_$^|_$^|_$^Breccia|_$^1|_$^2074
Emanuel Rylke|_$^|_$^|_$^jasper|_$^1|_$^2075
ALANVF|_$^|_$^|_$^Star|_$^1|_$^2079
Katie Ampersand|_$^|_$^|_$^Kami|_$^1|_$^2082
Lance Pollard|_$^|_$^|_$^Link|_$^1|_$^2084
E. Dean Tribble|_$^|_$^|_$^Joule|_$^1|_$^2087
jenra|_$^|_$^|_$^Curly|_$^1|_$^2090
Bishop Zareh|_$^|_$^|_$^Typecast.js|_$^1|_$^2091
Michael Chance|_$^|_$^|_$^Tag Line Commands|_$^1|_$^2093
Jack Clarke|_$^|_$^|_$^Cane|_$^1|_$^2095
John Tromp|_$^|_$^|_$^Binary Lambda Calculus - Lambda Diagrams|_$^2|_$^2108
Marco Lavoie|_$^|_$^|_$^LARP|_$^1|_$^2114
Ruslan Lopatin|_$^|_$^|_$^o42a|_$^1|_$^2121
Alexander Baranovsky|_$^|_$^|_$^paxScript|_$^1|_$^2122
Diarmuid Pigott|_$^|_$^|_$^protium|_$^1|_$^2126
Simon Whiteside|_$^|_$^|_$^Simkin|_$^1|_$^2128
Andrew McKinlay|_$^|_$^|_$^Suneido|_$^1|_$^2133
Laurenz Mädje|_$^|_$^|_$^Typst|_$^1|_$^2135
Harold Boley|_$^|_$^|_$^RuleML|_$^1|_$^2141
Benjamin Grosof|_$^|_$^|_$^RuleML|_$^1|_$^2141
Said Tabet|_$^|_$^|_$^RuleML|_$^1|_$^2141
Jeffrey Mark Siskind|_$^|_$^|_$^Stalin|_$^1|_$^2142
Zaven Muradyan|_$^|_$^|_$^awl|_$^1|_$^2144
Alin Ali Hassan|_$^|_$^|_$^Lesma|_$^1|_$^2145
Magnus Holm|_$^|_$^|_$^glush|_$^1|_$^2146
Nicholas Bollweg|_$^|_$^|_$^tangledown|_$^1|_$^2148
JL|_$^|_$^|_$^polymath|_$^1|_$^2162
Brian Kantor|_$^|_$^1953|_$^NNTP - AMPRNet|_$^2|_$^2164
Phil Lapsley|_$^home |_$^1965|_$^NNTP|_$^1|_$^2164
Zhenzhen Zhan|_$^|_$^|_$^FutureScript|_$^1|_$^2174
Thomas Hawkins|_$^|_$^|_$^Atom|_$^1|_$^2177
Martin Capodici|_$^|_$^|_$^badlanguage|_$^1|_$^2182
Gilbert Ohnysty|_$^|_$^|_$^SBASIC|_$^1|_$^2191
Chris Klimas|_$^ home|_$^|_$^Snowman|_$^1|_$^2204
Cerus|_$^|_$^|_$^Edina|_$^1|_$^2206
Gary Feng|_$^|_$^|_$^Octune|_$^1|_$^2207
Lucas de Sena|_$^|_$^|_$^Incipit|_$^1|_$^2208
Mark|_$^|_$^|_$^Jammy - Hina|_$^2|_$^2209
Daniel Garcia|_$^|_$^|_$^nlpl|_$^1|_$^2210
Sam Westerman|_$^|_$^|_$^Knight - Squire|_$^2|_$^2217
Anand Rao|_$^|_$^|_$^AgentSpeak|_$^1|_$^2220
Warren Robinett|_$^|_$^|_$^BASIC Programming|_$^1|_$^2226
valkarias|_$^|_$^|_$^PCrap|_$^1|_$^2229
