List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
CMake|_$^../concepts/cmake.html|_$^cmake cmake.in CMakeLists.txt cmakein|_$^4
Visual Basic .NET|_$^../concepts/visual-basic.net.html|_$^vb VB vbproj vbhtml|_$^4
Make|_$^../concepts/make.html|_$^am Gnumakefile gnumakefile Makefile makefile mk mak d make mkfile Makefile.* GNUmakefile|_$^12
JSON5|_$^../concepts/json5.html|_$^json5|_$^1
APL|_$^../concepts/apl.html|_$^apl apla aplc aplf apli apln aplo dyalog dyapp mipage|_$^10
Brainfuck|_$^../concepts/brainfuck.html|_$^b bf|_$^2
Gradle|_$^../concepts/gradle.html|_$^gradle gradle.kts|_$^2
Yacc|_$^../concepts/yacc.html|_$^y yacc yy|_$^3
Assembly language|_$^../concepts/assembly-language.html|_$^a51 asm nasm S s i inc nas|_$^8
OpenCL|_$^../concepts/opencl.html|_$^cl opencl|_$^2
Embedded Crystal|_$^../concepts/ecr.html|_$^ecr|_$^1
Scratch|_$^../concepts/scratch.html|_$^scratch sb sprite sb2 sprite2|_$^5
Slim|_$^../concepts/slim.html|_$^slim|_$^1
J|_$^../concepts/j.html|_$^ijs|_$^1
Red|_$^../concepts/red.html|_$^red reds|_$^2
fish|_$^../concepts/fish.html|_$^fish load|_$^2
Arduino Programming Language|_$^../concepts/arduino.html|_$^ino|_$^1
odin|_$^../concepts/odin.html|_$^odin|_$^1
Bazel|_$^../concepts/bazel.html|_$^BUILD|_$^1
HTTP|_$^../concepts/http.html|_$^http|_$^1
MediaWiki|_$^../concepts/mediawiki.html|_$^mediawiki wiki|_$^2
sed|_$^../concepts/sed.html|_$^sed [gs]sed|_$^2
Lean|_$^../concepts/lean.html|_$^hlean lean|_$^2
ANTLR|_$^../concepts/antlr.html|_$^g g4|_$^2
Tcl|_$^../concepts/tcl.html|_$^tcl tbc adp tclin tm rvt|_$^6
IDL|_$^../concepts/idl.html|_$^dlm idl pro|_$^3
